"",ML2,ML1
Hypertension,0.005,0.824
Congestive_heart_failure__nonhypertensive,-0.033,0.672
Chronic_kidney_disease,-0.074,0.653
Diabetes,0.062,0.579
Disorders_of_lipid_metabolism,0.093,0.495
Gout,-0.138,0.483
Obesity,0.136,0.48
Ischemic_heart_disease,0.048,0.463
Coagulation_and_hemorrhagic_disorders,0.095,0.345
Osteoarthritis,0.193,0.333
Thyroid_disorders,0.256,0.246
Acute_cerebrovascular_disease,0.066,0.199
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.234,0.196
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.419,0.189
Vision_defects,0.203,0.183
Hepatic_steatosis_and_other_liver_diseases,0.268,0.181
Inflammatory_conditions_of_male_genital_organs,0.356,0.163
Miscellaneous_mental_health_disorders,0.317,0.158
Allergic_rhinitis,0.136,0.157
Headache__including_migraine,0.365,0.157
Esophageal_disorders,0.294,0.152
Other_male_genital_disorders,0.356,0.132
Sexual_disorders,0.4,0.124
Neuropathy_and_other_nervous_system_disorders,0.382,0.101
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.374,0.099
Anxiety_disorders,0.532,0.083
Epilepsy__convulsions,0.263,0.077
Alcohol-related_disorders,0.38,0.064
Neoplasms,0.112,0.057
Psoriasis_and_other_inflammatory,0.21,0.05
Depression_and_Mood_disorders,0.541,0.044
Asthma,0.307,0.005
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.482,-0.017
Hepatitis,0.513,-0.018
Schizophrenia_and_other_psychotic_disorders,0.503,-0.179
Adictions,0.615,-0.237
