"",ML1,ML4,ML3,ML2,ML5
Alcohol-related_disorders,0.047,0.622,-0.149,-0.064,-0.065
Depression_and_Mood_disorders,-0.009,0.549,0.064,0.153,0.032
Anxiety_disorders,-0.034,0.378,0.356,0.028,0.163
Vision_defects,0.097,0.29,0.182,-0.08,-0.064
Headache__including_migraine,0.077,0.269,0.213,-0.092,0.128
Sexual_disorders,0.147,0.268,0.064,0.161,0.09
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.133,0.205,0.159,0.201,-0.384
Osteoarthritis,0.121,0.124,0.114,0.304,-0.085
Disorders_of_lipid_metabolism,0.484,0.093,0.136,0.109,0.063
Esophageal_disorders,0.131,0.085,0.335,0.015,-0.035
Other_male_genital_disorders,0.329,0.081,-0.022,0.132,0.038
Thyroid_disorders,0.188,0.066,0.023,0.189,0.454
Asthma,-0.038,0.048,0.53,-0.052,0.012
Diabetes,0.771,0.041,-0.19,-0.034,0.03
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.014,-0.011,-0.03,0.837,0.01
Hypertension,0.602,-0.015,0.193,0.026,0.136
Obesity,0.671,-0.028,0.116,0.022,-0.134
Allergic_rhinitis,0.033,-0.085,0.613,0.04,-0.046
