"",ML1,ML2
Adictions,-0.17,0.825
Hepatitis,0.067,0.61
Anxiety_disorders,0.257,0.455
Depression_and_Mood_disorders,0.249,0.398
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.326,0.352
Sexual_disorders,0.29,0.31
Hepatic_steatosis_and_other_liver_diseases,0.226,0.296
Alcohol-related_disorders,0.185,0.276
Neuropathy_and_other_nervous_system_disorders,0.257,0.268
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.249,0.265
Headache__including_migraine,0.276,0.236
Other_male_genital_disorders,0.322,0.224
Inflammatory_conditions_of_male_genital_organs,0.342,0.216
Asthma,0.179,0.178
Esophageal_disorders,0.305,0.165
Vision_defects,0.261,0.147
Coagulation_and_hemorrhagic_disorders,0.294,0.133
Psoriasis_and_other_inflammatory,0.171,0.122
Osteoarthritis,0.379,0.108
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.34,0.102
Thyroid_disorders,0.38,0.088
Neoplasms,0.149,0.046
Ischemic_heart_disease,0.441,0.042
Congestive_heart_failure__nonhypertensive,0.551,0.006
Allergic_rhinitis,0.275,-0.032
Diabetes,0.596,-0.036
Hypertension,0.722,-0.06
Obesity,0.56,-0.076
Disorders_of_lipid_metabolism,0.626,-0.153
