"",ML4,ML3,ML5,ML2,ML1,ML6,ML7
Adictions,0.049,0.996,-0.006,0.014,0.022,-0.032,-0.039
Hepatitis,-0.045,0.509,0.028,0.129,-0.008,0.2,0.11
Anxiety_disorders,0.075,0.33,0.417,0.03,0.171,-0.07,0.086
Depression_and_Mood_disorders,-0.025,0.238,0.236,0.048,0.112,0.037,0.225
Hepatic_steatosis_and_other_liver_diseases,-0.114,0.225,-0.122,0.056,0.02,0.493,0.208
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.072,0.216,0.1,0.179,0.012,0.182,0.25
Sexual_disorders,0.071,0.146,0.104,0.226,0.119,0,0.174
Alcohol-related_disorders,0.006,0.144,0.14,0.089,-0.117,0.204,0.18
Asthma,-0.15,0.134,0.53,-0.156,-0.072,0.128,0.058
Coagulation_and_hemorrhagic_disorders,0.38,0.122,0.039,0.032,-0.145,0.033,0.182
Headache__including_migraine,0.131,0.116,0.297,0.156,0.073,-0.036,-0.002
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.015,0.094,0.027,0.147,0.2,0.037,0.235
Vision_defects,0.032,0.053,0.152,0.103,0.251,0.021,0.049
Esophageal_disorders,-0.181,0.048,0.303,-0.14,0.112,0.309,0.21
Congestive_heart_failure__nonhypertensive,1,0.047,-0.036,-0.082,0.018,-0.002,0.015
Other_male_genital_disorders,0.177,0.038,0.121,0.201,0.333,-0.12,0.122
Osteoarthritis,0.138,0.035,0.178,0.074,-0.053,0.076,0.279
Neuropathy_and_other_nervous_system_disorders,-0.069,0.033,-0.024,0.997,-0.021,0.029,-0.033
Inflammatory_conditions_of_male_genital_organs,-0.014,0.013,-0.016,-0.031,1.007,0.012,-0.028
Psoriasis_and_other_inflammatory,0.086,0.009,0.122,0.096,0.108,-0.063,0.086
Ischemic_heart_disease,0.409,-0.007,-0.022,0.116,0.035,0.079,0.11
Thyroid_disorders,0.095,-0.049,0.072,0.101,0.125,0.198,0.148
Neoplasms,0.022,-0.061,-0.08,-0.164,-0.067,0.035,0.651
Hypertension,0.461,-0.095,0.252,0.115,-0.05,0.461,-0.121
Diabetes,0.19,-0.097,-0.123,0.135,0.147,0.594,0.01
Obesity,0.18,-0.126,0.175,0.072,0.078,0.364,-0.017
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.126,-0.136,0.159,0.347,0.047,-0.197,0.42
Allergic_rhinitis,0.007,-0.15,0.619,0.048,0.055,-0.143,-0.067
Disorders_of_lipid_metabolism,0.07,-0.281,0.211,0.043,0.221,0.255,0.184
