"",ML4,ML2,ML3,ML5,ML1
Congestive_heart_failure__nonhypertensive,-0.016,1.01,0.053,-0.042,-0.081
Hypertension,0.107,0.536,-0.156,0.304,0.145
Ischemic_heart_disease,0.069,0.42,-0.008,0.078,0.104
Coagulation_and_hemorrhagic_disorders,0.015,0.361,0.109,0.114,0.011
Diabetes,-0.033,0.287,-0.119,0.525,0.141
Obesity,0.2,0.238,-0.165,0.267,0.081
Other_male_genital_disorders,0.376,0.18,0.062,-0.092,0.177
Headache__including_migraine,0.336,0.128,0.094,-0.081,0.154
Osteoarthritis,0.274,0.127,0.012,0.116,0.048
Thyroid_disorders,0.197,0.12,-0.058,0.234,0.081
Disorders_of_lipid_metabolism,0.402,0.109,-0.299,0.243,0.022
Inflammatory_conditions_of_male_genital_organs,0.454,0.085,0.099,0.02,-0.036
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.358,0.083,-0.123,-0.063,0.297
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.196,0.079,0.198,0.269,0.151
Psoriasis_and_other_inflammatory,0.2,0.079,0.013,-0.019,0.08
Anxiety_disorders,0.525,0.067,0.31,-0.076,0.019
Sexual_disorders,0.295,0.065,0.144,0.026,0.201
Vision_defects,0.317,0.05,0.056,0.008,0.093
Adictions,0.016,0.039,0.989,0.003,0.017
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.274,0.018,0.106,0.108,0.114
Alcohol-related_disorders,0.104,0.009,0.112,0.277,0.072
Allergic_rhinitis,0.532,-0.011,-0.191,-0.197,0.052
Neoplasms,0.182,-0.012,-0.046,0.224,-0.225
Hepatitis,0.07,-0.03,0.49,0.244,0.12
Depression_and_Mood_disorders,0.413,-0.033,0.223,0.076,0.021
Neuropathy_and_other_nervous_system_disorders,-0.009,-0.057,0.024,0.007,0.996
Hepatic_steatosis_and_other_liver_diseases,-0.069,-0.064,0.207,0.612,0.034
Asthma,0.432,-0.155,0.072,0.123,-0.159
Esophageal_disorders,0.418,-0.155,0.009,0.345,-0.162
