"",ML1,ML3,ML2
Depression_and_Mood_disorders,-0.015,0.671,0.005
Alcohol-related_disorders,0.023,0.54,-0.213
Anxiety_disorders,-0.005,0.423,0.286
Sexual_disorders,0.189,0.347,0.061
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.161,0.282,0.127
Headache__including_migraine,0.079,0.253,0.141
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.117,0.247,0.151
Vision_defects,0.079,0.247,0.114
Osteoarthritis,0.164,0.244,0.16
Thyroid_disorders,0.278,0.179,0.055
Other_male_genital_disorders,0.354,0.148,-0.011
Disorders_of_lipid_metabolism,0.523,0.135,0.137
Esophageal_disorders,0.121,0.12,0.316
Asthma,-0.043,0.055,0.502
Hypertension,0.63,0.008,0.187
Diabetes,0.776,-0.011,-0.198
Obesity,0.64,-0.019,0.108
Allergic_rhinitis,0.033,-0.024,0.628
