"",ML3,ML2,ML1
Hypertension,0.148,0.746,-0.09
Chronic_kidney_disease,-0.131,0.744,0.061
Congestive_heart_failure__nonhypertensive,-0.081,0.741,0.112
Diabetes,0.15,0.527,-0.07
Ischemic_heart_disease,0.058,0.462,0.038
Gout,-0.005,0.44,-0.16
Coagulation_and_hemorrhagic_disorders,-0.016,0.421,0.147
Obesity,0.343,0.328,-0.158
Disorders_of_lipid_metabolism,0.425,0.279,-0.299
Osteoarthritis,0.242,0.274,0.026
Acute_cerebrovascular_disease,0.021,0.22,0.05
Hepatic_steatosis_and_other_liver_diseases,0.136,0.214,0.221
Epilepsy__convulsions,0.021,0.198,0.285
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.329,0.165,0.204
Thyroid_disorders,0.356,0.141,-0.067
Vision_defects,0.246,0.113,0.066
Hepatitis,0.179,0.095,0.496
Sexual_disorders,0.37,0.065,0.142
Headache__including_migraine,0.391,0.065,0.082
Alcohol-related_disorders,0.288,0.051,0.098
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.395,0.051,-0.115
Inflammatory_conditions_of_male_genital_organs,0.427,0.046,0.073
Esophageal_disorders,0.374,0.041,-0.014
Anxiety_disorders,0.436,0.034,0.29
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.363,0.034,0.092
Neoplasms,0.134,0.034,-0.064
Neuropathy_and_other_nervous_system_disorders,0.378,0.022,0.086
Other_male_genital_disorders,0.429,0.011,0.05
Adictions,0.015,0.009,0.995
Depression_and_Mood_disorders,0.493,-0.035,0.184
Miscellaneous_mental_health_disorders,0.498,-0.035,-0.051
Psoriasis_and_other_inflammatory,0.278,-0.041,-0.006
Allergic_rhinitis,0.407,-0.053,-0.212
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.414,-0.08,0.21
Asthma,0.39,-0.121,0.028
Schizophrenia_and_other_psychotic_disorders,0.353,-0.19,0.286
