"",ML4,ML5,ML3,ML6,ML2,ML1
Other_male_genital_disorders,0.022,0.521,0.074,-0.019,-0.157,0.107
Inflammatory_conditions_of_male_genital_organs,0.064,0.515,0.1,-0.083,0.049,-0.056
Anxiety_disorders,0.055,0.471,0.288,-0.054,0.055,0.061
Spondylosis__intervertebral_disc_disorders__other_back_problems,-0.047,0.46,-0.087,0.191,-0.047,-0.143
Allergic_rhinitis,-0.03,0.427,-0.197,-0.118,0.123,-0.032
Miscellaneous_mental_health_disorders,0.016,0.425,-0.061,-0.055,0.139,0.069
Headache__including_migraine,0.079,0.384,0.071,-0.048,0.176,-0.023
Esophageal_disorders,-0.048,0.378,-0.027,0.258,-0.142,0.082
Sexual_disorders,0.05,0.356,0.139,0.087,0.034,-0.001
Vision_defects,0.073,0.349,0.087,0.025,-0.067,-0.039
Depression_and_Mood_disorders,0.013,0.343,0.13,0.033,0.193,0.166
Asthma,-0.122,0.34,0.025,0.078,0.047,0.025
Disorders_of_lipid_metabolism,0.272,0.327,-0.33,0.087,0.087,0.081
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.02,0.259,0.062,0.138,0.171,-0.018
Neuropathy_and_other_nervous_system_disorders,-0.058,0.224,0.01,0.315,0.095,0.128
Psoriasis_and_other_inflammatory,-0.061,0.218,0.002,0.092,0.243,-0.23
Thyroid_disorders,0.141,0.215,-0.115,0.133,0.131,0.094
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.087,0.214,0.158,0.358,-0.003,0.053
Obesity,0.42,0.197,-0.218,-0.023,-0.023,0.367
Osteoarthritis,0.265,0.182,0.001,0.07,0.078,0.032
Hypertension,0.703,0.123,-0.108,0.143,0.033,-0.056
Ischemic_heart_disease,0.418,0.115,0.043,0.041,0.138,-0.217
Acute_cerebrovascular_disease,0.1,0.11,0.074,0.232,-0.109,-0.181
Neoplasms,-0.006,0.109,-0.076,0.169,-0.126,0.086
Hepatitis,0.037,0.074,0.443,0.282,0.039,0.068
Adictions,0.019,0.031,0.96,0.036,0.045,0.079
Epilepsy__convulsions,0.195,0.01,0.254,0.049,-0.071,0.153
Congestive_heart_failure__nonhypertensive,0.812,0.003,0.127,-0.177,0.061,-0.092
Schizophrenia_and_other_psychotic_disorders,-0.05,0,0.083,-0.014,0.028,0.974
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,-0.004,-0.002,0.026,0.01,0.988,0.021
Hepatic_steatosis_and_other_liver_diseases,0.024,-0.027,0.151,0.675,0.024,-0.098
Chronic_kidney_disease,0.681,-0.035,0.064,0.107,-0.233,0.03
Diabetes,0.498,-0.042,-0.159,0.294,0.032,0.195
Alcohol-related_disorders,0.008,-0.049,-0.04,0.4,0.238,0.242
Coagulation_and_hemorrhagic_disorders,0.397,-0.06,0.131,0.108,0.145,-0.146
Gout,0.446,-0.098,-0.19,0.051,0.075,0.026
