"",ML3,ML2,ML1,ML4
Hypertension,-0.011,0.904,-0.036,-0.079
Obesity,0.083,0.581,0.068,0.207
Disorders_of_lipid_metabolism,0.027,0.536,0.156,0.035
Neuropathy_and_other_nervous_system_disorders,0.13,0.404,0.044,0.291
Miscellaneous_mental_health_disorders,0.405,0.128,-0.131,-0.077
Headache__including_migraine,0.448,0.095,-0.114,0.011
Thyroid_disorders,0.365,0.09,0.012,0.004
Depression_and_Mood_disorders,0.46,0.072,0.067,0.022
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.28,0.03,0.064,-0.121
Psoriasis_and_other_inflammatory,-0.013,0.012,0.994,-0.029
Allergic_rhinitis,0.355,0.011,-0.029,0.217
Atopic_dermatitis,-0.084,0,-0.193,0.643
Anxiety_disorders,0.62,-0.022,0.007,-0.079
Menstrual_disorders,0.633,-0.032,-0.011,0.002
Asthma,0.198,-0.045,0.259,0.382
Vision_defects,0.158,-0.095,0.187,0.305
