"",ML6,ML3,ML5,ML7,ML1,ML2,ML4
Obesity,0.003,0.983,-0.01,0.022,0.028,-0.007,-0.002
Hypertension,0.077,0.335,0.054,0.513,-0.043,-0.074,-0.049
Vision_defects,0.141,0.186,0.147,-0.314,-0.001,0.23,0.227
Depression_and_Mood_disorders,0.554,0.141,-0.042,0.014,-0.156,0.064,0.1
Menstrual_disorders,0.503,0.123,0.134,-0.079,0.049,0.004,0.016
Neuropathy_and_other_nervous_system_disorders,0.15,0.097,0.089,0.386,0.08,0.193,0.013
Headache__including_migraine,0.323,0.054,0.22,0.058,0.009,0.008,-0.081
Disorders_of_lipid_metabolism,-0.006,0.028,0.063,0.667,0.006,0.067,0.137
Asthma,-0.006,0.02,-0.005,-0.003,0.991,0.005,0.018
Allergic_rhinitis,0.372,0.009,-0.036,0.028,0.276,0.022,-0.12
Psoriasis_and_other_inflammatory,0,-0.009,-0.01,0.021,0.016,-0.029,0.983
Miscellaneous_mental_health_disorders,0,-0.013,0.989,0.015,-0.005,-0.017,-0.008
Atopic_dermatitis,-0.008,-0.014,-0.018,0.016,0.005,0.989,-0.029
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.431,-0.075,-0.22,0.106,-0.004,-0.136,0.018
Anxiety_disorders,0.525,-0.08,0.126,0.039,0.121,-0.048,0.017
Thyroid_disorders,0.338,-0.133,0.052,0.254,0.092,-0.009,-0.009
