"",ML3,ML2,ML1
Hypertension,-0.06,0.902,-0.038
Obesity,0.169,0.57,0.072
Disorders_of_lipid_metabolism,0.071,0.546,0.015
Neuropathy_and_other_nervous_system_disorders,0.216,0.403,0.192
Miscellaneous_mental_health_disorders,0.301,0.155,-0.061
Headache__including_migraine,0.38,0.116,0.013
Thyroid_disorders,0.361,0.099,-0.026
Depression_and_Mood_disorders,0.478,0.081,-0.001
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.282,0.025,-0.156
Psoriasis_and_other_inflammatory,0.269,0.023,-0.347
Atopic_dermatitis,-0.002,-0.002,0.998
Allergic_rhinitis,0.425,-0.004,0.08
Anxiety_disorders,0.576,-0.004,-0.075
Menstrual_disorders,0.605,-0.015,-0.017
Asthma,0.401,-0.061,0.125
Vision_defects,0.304,-0.105,0.157
