"",ML2,ML1
Adictions,0.015,0.993
Hepatitis,0.019,0.631
Depression_and_Mood_disorders,0.428,0.35
Anxiety_disorders,0.605,0.219
Obesity,0.425,0.15
Menstrual_disorders,0.524,0.149
Asthma,0.357,0.039
Miscellaneous_mental_health_disorders,0.56,0.039
Headache__including_migraine,0.509,0.024
Thyroid_disorders,0.413,-0.046
Atopic_dermatitis,0.051,-0.064
Allergic_rhinitis,0.422,-0.085
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.597,-0.087
Hypertension,0.251,-0.101
Vision_defects,0.302,-0.153
Disorders_of_lipid_metabolism,0.572,-0.326
