"",ML7,ML6,ML2,ML5,ML4,ML1,ML3
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.039,0.968,0.087,-0.013,0.014,0.104,0.129
Obesity,0.347,0.386,0.011,-0.059,0.128,-0.203,0.197
Urinary_incontinence,0.299,0.346,-0.288,0.2,0.071,-0.329,-0.289
Psoriasis_and_other_inflammatory,0.048,0.286,-0.221,0.123,0.064,0.074,-0.201
Anxiety_disorders,0.266,0.275,0.156,0.308,0.141,-0.006,-0.14
Asthma,0.23,0.257,-0.104,0.159,0.154,-0.024,-0.38
Vision_defects,0.021,0.25,-0.089,0.297,-0.087,-0.311,0.025
Miscellaneous_mental_health_disorders,0.426,0.215,0.034,0.038,-0.036,0.333,-0.219
Diseases_of_white_blood_cells,0.04,0.137,-0.119,0.067,0.022,-0.061,0.956
Esophageal_disorders,0.382,0.116,-0.011,0.022,-0.217,0.204,0.277
Neuropathy_and_other_nervous_system_disorders,0.054,0.112,0.152,0.246,-0.211,0.014,-0.1
Menstrual_disorders,0.556,0.108,0.179,-0.006,0.051,0.106,-0.006
Thyroid_disorders,0.279,0.106,-0.014,0.081,0.172,-0.048,0.025
Adjustment_disorders,0.024,0.103,-0.096,0.136,0.08,0.912,-0.063
Hepatitis,0.001,0.085,0.979,0.03,0.038,-0.089,-0.112
Allergic_rhinitis,0.423,0.076,-0.235,-0.06,0.092,0.164,0.048
Other_acquired_deformities,0.171,0.028,-0.105,-0.117,0.135,0.228,0.032
Disorders_of_lipid_metabolism,-0.001,0.005,0.015,0.04,0.981,0.058,0.006
Hypertension,-0.037,-0.001,0.218,-0.06,0.14,0.247,0.049
Other_nutritional__endocrine__and_metabolic_disorders,0.322,-0.01,-0.28,0.053,-0.325,0.092,-0.132
Headache__including_migraine,0.35,-0.024,0.173,-0.062,0.215,0.204,0.264
Depression_and_Mood_disorders,-0.048,-0.028,0.035,0.981,0.035,0.09,0.047
Adictions,0.302,-0.05,0.528,0.227,-0.238,0.148,0.044
Atopic_dermatitis,0.265,-0.17,-0.167,-0.159,0.334,0,-0.037
Alcohol-related_disorders,0.57,-0.286,0.1,0.298,0.097,-0.115,0.2
