"",ML3,ML4,ML1,ML7,ML5,ML2,ML6,ML8
Asthma,0.022,0.996,0.033,0.003,-0.035,-0.009,-0.005,-0.02
Allergic_rhinitis,0.005,0.295,-0.12,0.04,0.216,0.17,0.064,0.088
Anxiety_disorders,-0.061,0.173,0.013,0.353,0.339,0.133,-0.041,0.004
Atopic_dermatitis,-0.053,0.13,-0.329,-0.264,0.102,-0.105,0.329,0.314
Menstrual_disorders,0.134,0.118,-0.02,0.308,0.292,0.115,-0.095,0.026
Thyroid_disorders,-0.111,0.109,0.023,0.19,0.223,0.081,0.228,-0.059
Neuropathy_and_other_nervous_system_disorders,0.08,0.071,0.005,0.052,0.097,0.076,0.532,0.09
Psoriasis_and_other_inflammatory,-0.015,0.039,0.994,-0.036,0.033,-0.005,0.03,0.051
Obesity,0.99,0.033,-0.016,-0.033,0.03,-0.014,-0.007,0.035
Miscellaneous_mental_health_disorders,-0.027,0.013,-0.066,0.668,-0.006,-0.121,0.102,0.092
Headache__including_migraine,0.036,0.008,-0.088,0.407,0.126,0.038,0.091,0.184
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.011,-0.006,-0.009,-0.031,-0.01,1.005,0.009,0.013
Disorders_of_lipid_metabolism,0.115,-0.012,0.193,0.134,0.001,0.011,0.543,-0.185
Vision_defects,0.078,-0.029,0.13,0.103,-0.042,0.04,-0.048,0.729
Depression_and_Mood_disorders,0.053,-0.068,0.054,-0.018,0.818,-0.022,0.009,-0.03
Hypertension,0.423,-0.078,0.024,0.215,-0.039,0.088,0.358,-0.124
