"",ML4,ML1,ML3,ML2,ML6,ML5
Obesity,-0.001,0.992,-0.012,-0.001,0.017,0
Hypertension,0.086,0.342,0.055,-0.06,0.509,-0.102
Vision_defects,0.116,0.163,0.133,0.226,-0.299,0.272
Depression_and_Mood_disorders,0.453,0.134,-0.049,0.051,0.058,0.007
Menstrual_disorders,0.525,0.133,0.119,0.001,-0.088,-0.013
Asthma,0.205,0.118,0.018,0.262,-0.101,0.297
Neuropathy_and_other_nervous_system_disorders,0.151,0.083,0.087,0.051,0.398,0.28
Headache__including_migraine,0.315,0.051,0.213,-0.079,0.066,0.037
Disorders_of_lipid_metabolism,0.003,0.036,0.068,0.15,0.648,0.072
Allergic_rhinitis,0.451,0.03,-0.036,-0.048,-0.021,0.15
Psoriasis_and_other_inflammatory,-0.008,-0.008,-0.016,0.986,0.026,-0.042
Miscellaneous_mental_health_disorders,0.003,-0.014,0.996,-0.013,0.015,-0.02
Atopic_dermatitis,-0.035,-0.019,-0.049,-0.116,0.039,0.763
Anxiety_disorders,0.563,-0.059,0.116,0.026,0.02,-0.039
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.471,-0.068,-0.231,0,0.089,-0.158
Thyroid_disorders,0.363,-0.125,0.05,0.017,0.241,0.04
