"",ML8,ML7,ML4,ML6,ML5,ML1,ML2,ML3
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.064,0.954,0.087,-0.03,0.018,0.12,0.129,0.064
Obesity,0.333,0.423,0.001,-0.037,0.125,-0.22,0.194,-0.047
Urinary_incontinence,0.282,0.375,-0.294,0.204,0.073,-0.328,-0.292,0.028
Asthma,0.232,0.293,-0.114,0.176,0.15,-0.043,-0.383,-0.067
Anxiety_disorders,0.248,0.274,0.162,0.295,0.147,0.016,-0.141,0.089
Psoriasis_and_other_inflammatory,0.036,0.261,-0.207,0.091,0.071,0.11,-0.201,0.136
Miscellaneous_mental_health_disorders,0.394,0.215,0.047,0.035,-0.033,0.354,-0.22,0.062
Esophageal_disorders,0.388,0.174,-0.033,0.072,-0.227,0.153,0.271,-0.185
Neuropathy_and_other_nervous_system_disorders,0.05,0.141,0.136,0.268,-0.213,-0.011,-0.101,-0.087
Diseases_of_white_blood_cells,0.044,0.134,-0.121,0.063,0.025,-0.058,0.954,0.032
Thyroid_disorders,0.263,0.13,-0.017,0.096,0.172,-0.054,0.024,-0.019
Adjustment_disorders,0.012,0.106,-0.092,0.155,0.078,0.9,-0.061,-0.091
Menstrual_disorders,0.536,0.097,0.2,-0.026,0.056,0.145,-0.01,0.141
Hepatitis,0.002,0.075,0.979,0.024,0.04,-0.083,-0.112,0.019
Allergic_rhinitis,0.403,0.041,-0.203,-0.101,0.1,0.224,0.046,0.213
Vision_defects,-0.013,0.027,0.017,0.067,-0.038,-0.054,0.026,0.982
Disorders_of_lipid_metabolism,-0.005,0.017,0.017,0.05,0.98,0.052,0.01,-0.039
Other_acquired_deformities,0.166,0.005,-0.086,-0.138,0.138,0.257,0.032,0.095
Hypertension,-0.05,-0.018,0.226,-0.064,0.142,0.258,0.051,0.02
Adictions,0.309,-0.021,0.517,0.251,-0.241,0.125,0.04,-0.083
Depression_and_Mood_disorders,-0.041,-0.034,0.033,0.96,0.048,0.108,0.047,0.087
Headache__including_migraine,0.325,-0.035,0.19,-0.067,0.219,0.229,0.264,0.08
Other_nutritional__endocrine__and_metabolic_disorders,0.311,-0.039,-0.258,0.016,-0.318,0.141,-0.135,0.183
Atopic_dermatitis,0.271,-0.213,-0.133,-0.209,0.34,0.059,-0.039,0.217
Alcohol-related_disorders,0.587,-0.239,0.091,0.324,0.094,-0.135,0.193,-0.056
