"",ML4,ML3,ML2,ML1
Adictions,-0.057,0.926,-0.034,0.179
Depression_and_Mood_disorders,0.382,0.466,0.012,-0.043
Obesity,0.13,0.341,0.385,-0.223
Anxiety_disorders,0.412,0.303,0.224,0.053
Menstrual_disorders,0.42,0.238,0.101,0.026
Allergic_rhinitis,0.336,0.213,0.08,-0.397
Miscellaneous_mental_health_disorders,0.353,0.158,0.235,-0.031
Asthma,0.219,0.146,0.213,-0.087
Hepatitis,0.051,0.126,0.038,0.933
Headache__including_migraine,0.528,0.112,-0.025,0.022
Atopic_dermatitis,0.184,0.091,-0.149,-0.257
Thyroid_disorders,0.343,0.052,0.075,-0.036
Hearing_loss_and_other_ear_and_sense_organ_disorders,-0.024,-0.05,1.012,0.033
Vision_defects,0.183,-0.135,0.163,0.057
Hypertension,0.301,-0.206,-0.006,0.268
Disorders_of_lipid_metabolism,0.699,-0.283,-0.006,0.091
