"",ML3,ML4,ML2,ML1,ML5
Menstrual_disorders,-0.013,0.578,-0.011,0.104,0.011
Anxiety_disorders,-0.007,0.562,0.008,0.113,-0.068
Depression_and_Mood_disorders,0.099,0.497,0.043,-0.057,0.015
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.053,0.444,0,-0.225,-0.183
Allergic_rhinitis,0.015,0.423,-0.058,-0.038,0.186
Thyroid_disorders,0.102,0.322,0.015,0.069,0.013
Headache__including_migraine,0.104,0.306,-0.081,0.208,0.053
Asthma,-0.043,0.201,0.257,0.017,0.374
Obesity,0.592,0.122,0.052,-0.055,0.193
Vision_defects,-0.107,0.11,0.204,0.113,0.318
Neuropathy_and_other_nervous_system_disorders,0.4,0.089,0.055,0.096,0.297
Miscellaneous_mental_health_disorders,0.01,0.012,-0.009,0.992,-0.011
Psoriasis_and_other_inflammatory,0.007,-0.008,0.993,-0.012,-0.029
Hypertension,0.896,-0.009,-0.041,0.013,-0.084
Disorders_of_lipid_metabolism,0.533,-0.028,0.17,0.088,0.048
Atopic_dermatitis,0.002,-0.058,-0.19,-0.048,0.651
