"",ML3,ML2,ML1
Hepatitis,-0.12,0.828,-0.139
Adictions,0.046,0.733,0.103
Depression_and_Mood_disorders,0.294,0.39,0.322
Anxiety_disorders,0.464,0.386,0.134
Neuropathy_and_other_nervous_system_disorders,0.093,0.333,0.042
Alcohol-related_disorders,0.394,0.333,-0.089
Menstrual_disorders,0.427,0.265,0.128
Headache__including_migraine,0.302,0.182,0.181
Miscellaneous_mental_health_disorders,0.35,0.145,0.401
Hypertension,-0.074,0.116,0.234
Asthma,0.329,0.049,0.145
Obesity,0.575,0.044,-0.148
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.424,0.033,0.27
Thyroid_disorders,0.46,-0.01,0.012
Esophageal_disorders,0.316,-0.016,0.182
Vision_defects,0.391,-0.023,-0.217
Adjustment_disorders,-0.05,-0.033,1.013
Psoriasis_and_other_inflammatory,0.273,-0.076,0.198
Disorders_of_lipid_metabolism,0.297,-0.08,0.243
Other_acquired_deformities,0.131,-0.106,0.24
Diseases_of_white_blood_cells,0.288,-0.13,-0.087
Other_nutritional__endocrine__and_metabolic_disorders,0.193,-0.132,0.088
Urinary_incontinence,0.684,-0.18,-0.166
Atopic_dermatitis,0.172,-0.22,0.02
Allergic_rhinitis,0.469,-0.225,0.197
