"",ML2,ML1
Hypertension,-0.054,0.918
Obesity,0.207,0.54
Disorders_of_lipid_metabolism,0.089,0.528
Neuropathy_and_other_nervous_system_disorders,0.269,0.357
Miscellaneous_mental_health_disorders,0.312,0.142
Headache__including_migraine,0.402,0.095
Thyroid_disorders,0.368,0.086
Depression_and_Mood_disorders,0.484,0.066
Psoriasis_and_other_inflammatory,0.202,0.053
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.247,0.044
Anxiety_disorders,0.553,0.003
Allergic_rhinitis,0.446,-0.024
Menstrual_disorders,0.608,-0.028
Atopic_dermatitis,0.116,-0.072
Asthma,0.421,-0.085
Vision_defects,0.323,-0.122
