"",ML12,ML10,ML4,ML8,ML2,ML7,ML5,ML11,ML1,ML3,ML9,ML6
Alcohol-related_disorders,0.004,0.891,-0.09,0.111,-0.105,0.02,-0.023,-0.024,0.148,0.125,0.146,-0.029
Menstrual_disorders,0.023,0.427,0.054,0.068,0.227,0.289,0.129,-0.02,-0.038,-0.149,-0.07,0.119
Atopic_dermatitis,0.078,0.365,0.26,-0.008,-0.219,-0.135,-0.128,0.072,-0.255,0.038,0.201,0.232
Miscellaneous_mental_health_disorders,0.244,0.331,0.312,0.008,0.256,0.23,0.133,-0.001,-0.024,-0.358,-0.22,0.028
Esophageal_disorders,0.207,0.265,0.12,-0.026,0.215,-0.061,0.44,0.025,0.074,0.222,-0.247,-0.24
Anxiety_disorders,0.082,0.207,-0.037,0.117,0.324,0.177,0.119,-0.004,0.249,-0.195,0.024,0.087
Disorders_of_lipid_metabolism,-0.01,0.129,0.197,-0.36,0.009,0.133,-0.34,0.289,0.228,-0.03,0.198,-0.044
Diseases_of_white_blood_cells,-0.1,0.119,-0.043,-0.04,0.165,0.139,-0.034,0.08,0.062,0.903,-0.138,0.04
Asthma,0.039,0.108,-0.005,-0.021,0.141,0.054,0.117,-0.011,0.044,-0.103,0.94,-0.052
Adictions,-0.086,0.104,0.082,0.925,-0.027,0.012,-0.028,0.127,0.105,-0.029,-0.007,-0.032
Hepatitis,-0.216,0.086,-0.318,0.422,0.274,0.087,-0.193,-0.003,0.129,-0.363,-0.056,0.014
Depression_and_Mood_disorders,0.078,0.076,0.114,0.082,-0.054,-0.032,0.004,-0.005,0.925,0.066,0.038,0.106
Thyroid_disorders,0.404,0.018,0.077,0.052,0.002,-0.034,0.083,0.162,0.121,0.08,-0.041,-0.035
Allergic_rhinitis,0.29,0.015,0.343,0.078,-0.076,0.149,0.137,0.072,-0.111,0.142,0.036,0.193
Urinary_incontinence,0.956,0.004,-0.064,-0.099,0.037,0.026,-0.092,0.092,0.075,-0.105,0.039,0.036
Other_acquired_deformities,0.017,-0.008,0.37,0.247,-0.085,0.028,-0.044,0.033,-0.206,0.173,0.315,0.11
Headache__including_migraine,0.006,-0.008,0.027,-0.003,-0.07,1.005,-0.052,0.033,-0.035,0.09,0.045,0.022
Vision_defects,0.013,-0.011,-0.065,-0.022,0.065,0.025,0.077,-0.04,0.085,0.018,-0.057,0.979
Obesity,0.156,-0.02,-0.106,0.157,0.106,0.048,0.133,0.891,-0.026,0.106,0.004,-0.033
Other_nutritional__endocrine__and_metabolic_disorders,-0.095,-0.027,0.021,-0.029,-0.072,-0.042,0.972,0.102,0.009,-0.046,0.125,0.098
Hypertension,-0.386,-0.049,0.099,-0.21,-0.007,0.193,0.039,0.487,0.141,-0.212,-0.086,-0.02
Adjustment_disorders,-0.099,-0.06,0.878,0.037,0.152,0.082,0.041,-0.087,0.193,-0.061,0.003,-0.119
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.048,-0.091,0.114,-0.012,0.919,-0.049,-0.07,0.107,-0.03,0.148,0.15,0.087
Psoriasis_and_other_inflammatory,0.104,-0.11,0.292,0.155,0.081,-0.125,-0.206,0.254,0.02,-0.101,0.121,0.203
Neuropathy_and_other_nervous_system_disorders,0.247,-0.301,-0.098,0.354,0.06,0.256,0.128,-0.282,0.184,0.025,0.129,-0.097
