"",ML8,ML4,ML10,ML5,ML1,ML3,ML6,ML7,ML2,ML9
Obesity,0.068,0.929,0.02,0.041,0.077,0.045,-0.005,-0.092,0.093,0.011
Hypertension,0.199,0.425,-0.042,0.124,0.248,-0.075,0.11,0.096,-0.022,0.11
Menstrual_disorders,-0.03,0.188,0.373,0.188,-0.123,0.333,0.061,0.234,-0.011,0.169
Depression_and_Mood_disorders,0.264,0.159,0.268,0.099,-0.08,0.157,-0.084,0.25,-0.009,0.196
Asthma,0.005,0.094,0.49,-0.114,0.006,-0.027,0.023,-0.065,0.034,-0.138
Urinary_incontinence,0.944,0.075,-0.014,-0.041,0.014,-0.083,0.046,0.027,-0.076,-0.024
Disorders_of_lipid_metabolism,0.02,0.067,-0.008,-0.022,0.958,0.049,-0.005,0.094,-0.053,-0.001
Vision_defects,-0.056,0.066,-0.007,-0.062,-0.052,-0.023,0.024,0.084,0.965,-0.023
Headache__including_migraine,0.156,0.044,0.149,0.021,0.028,-0.035,0.265,-0.007,0.156,0.018
Psoriasis_and_other_inflammatory,-0.085,0.038,0.203,-0.06,0.201,-0.266,0.006,-0.181,0.142,0.538
Other_nutritional__endocrine__and_metabolic_disorders,-0.027,0.035,-0.017,1.005,-0.024,-0.049,-0.007,0.01,-0.056,-0.038
Neuropathy_and_other_nervous_system_disorders,0.412,0.028,0.211,0.142,0.207,0.073,0.111,-0.155,0.124,-0.179
Allergic_rhinitis,0.018,0.025,0.481,-0.001,0.011,0.023,0.027,-0.062,0.089,-0.133
Dyspareunia,-0.061,0.018,-0.001,-0.055,0.051,0.98,0.047,-0.041,-0.019,-0.02
Female_infertility,-0.212,-0.009,0.392,0.02,0.226,-0.193,0.123,0.093,-0.181,-0.028
Miscellaneous_mental_health_disorders,0.021,-0.013,-0.01,-0.009,-0.02,0.025,0.992,0.009,0.012,0.008
Atopic_dermatitis,0.059,-0.017,0.173,0.096,0.072,-0.07,-0.056,-0.021,0.169,-0.63
Anxiety_disorders,0.114,-0.018,0.323,0.067,-0.013,0.133,0.131,0.125,0.054,0.224
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.141,-0.054,0.341,-0.131,0,0.048,-0.178,0.028,0.014,0.242
Esophageal_disorders,0.01,-0.071,-0.002,0.002,0.101,-0.039,0.038,0.951,0.09,-0.02
Thyroid_disorders,0.118,-0.076,0.276,0.123,0.102,0.185,0.068,0.002,-0.004,0.056
Nonmalignant_breast_conditions,-0.047,-0.33,0.026,0.312,0.233,0.088,0.078,-0.217,0.143,0.227
Other_acquired_deformities,0.352,-0.343,-0.021,0.217,0.068,0.15,-0.119,-0.111,0.248,0.095
