"",ML5,ML4,ML1,ML2,ML3
Dyspareunia,-0.159,0.659,0.085,-0.128,-0.234
Menstrual_disorders,-0.023,0.654,0.154,0.172,0.083
Anxiety_disorders,0.166,0.44,-0.022,0.143,0.133
Thyroid_disorders,0.285,0.372,-0.096,0.012,0.081
Nonmalignant_breast_conditions,0.109,0.369,-0.341,-0.169,0.181
Miscellaneous_mental_health_disorders,0.151,0.342,0.007,0.242,-0.023
Allergic_rhinitis,0.12,0.274,0.085,-0.005,-0.02
Depression_and_Mood_disorders,0.236,0.264,0.138,0.186,0.144
Headache__including_migraine,0.252,0.244,0.059,0.085,-0.031
Other_nutritional__endocrine__and_metabolic_disorders,0.378,0.2,-0.14,-0.106,-0.081
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.119,0.198,-0.038,-0.006,0.14
Other_acquired_deformities,0.358,0.157,-0.323,-0.126,0.031
Asthma,0.027,0.13,0.17,0.021,0.2
Neuropathy_and_other_nervous_system_disorders,0.63,0.119,0.063,-0.066,0.028
Female_infertility,0.04,0.106,-0.012,0.188,0.177
Disorders_of_lipid_metabolism,0.338,0.095,0.153,0.281,0.211
Obesity,0.068,0.06,0.957,-0.072,0.023
Vision_defects,-0.202,0.038,0.232,0.295,0.151
Hypertension,0.401,0.021,0.383,0.139,0.055
Esophageal_disorders,-0.011,0.01,-0.056,0.999,-0.043
Psoriasis_and_other_inflammatory,-0.031,-0.026,0.015,-0.037,0.999
Atopic_dermatitis,0.173,-0.052,0.063,0.048,-0.341
Urinary_incontinence,0.757,-0.158,0.142,0.025,-0.094
