"",ML5,ML6,ML3,ML4,ML2,ML1
Other_nutritional__endocrine__and_metabolic_disorders,0.059,0.549,-0.106,-0.049,-0.109,-0.179
Nonmalignant_breast_conditions,-0.298,0.505,0.107,-0.133,0.164,0.051
Other_acquired_deformities,-0.127,0.449,0.025,-0.124,-0.021,0.155
Thyroid_disorders,0.115,0.346,0.207,0.061,0.09,-0.017
Anxiety_disorders,0.104,0.336,0.191,0.168,0.134,0.076
Neuropathy_and_other_nervous_system_disorders,0.496,0.311,0.047,-0.061,-0.013,0.077
Menstrual_disorders,0.149,0.265,0.403,0.217,0.136,0.029
Headache__including_migraine,0.254,0.253,0.01,0.058,-0.075,0.19
Allergic_rhinitis,0.188,0.238,0.049,-0.032,-0.051,0.173
Urinary_incontinence,0.601,0.218,-0.21,0.048,-0.139,-0.124
Depression_and_Mood_disorders,0.278,0.21,0.146,0.215,0.155,-0.014
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.057,0.198,0.024,0.001,0.126,0.047
Atopic_dermatitis,0.134,0.173,-0.166,-0.019,-0.411,0.225
Miscellaneous_mental_health_disorders,0.153,0.113,0.302,0.269,0.004,0.065
Disorders_of_lipid_metabolism,0.387,0.106,0.1,0.345,0.241,-0.213
Female_infertility,0.071,0.065,-0.063,0.226,0.184,-0.151
Hypertension,0.681,0.06,-0.05,0.144,0.043,-0.079
Asthma,0.208,0.028,0.052,0,0.192,0.104
Psoriasis_and_other_inflammatory,0.008,0.006,-0.08,-0.043,0.984,0.036
Vision_defects,0.023,0.005,-0.019,0.061,0.024,0.982
Dyspareunia,-0.011,-0.011,0.992,-0.036,-0.077,-0.024
Esophageal_disorders,-0.058,-0.042,-0.028,0.992,-0.05,0.071
Obesity,0.873,-0.145,0.089,-0.137,0.039,0.121
