"",ML6,ML1,ML3,ML2,ML4,ML5
Hepatitis,-0.011,0.995,0.053,-0.058,0.052,0.042
Adictions,0.186,0.37,-0.178,0.224,-0.086,0.68
Hypertension,0.176,0.255,0.027,0.385,-0.149,-0.45
Anxiety_disorders,0.496,0.079,0.151,-0.041,0.212,0.179
Disorders_of_lipid_metabolism,0.041,0.062,0.979,0.042,0.005,-0.047
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.026,0.047,-0.007,0.078,0.96,-0.025
Menstrual_disorders,0.575,0.028,0.019,0.006,0.06,0.023
Vision_defects,0.263,0.012,-0.159,0.016,0.139,-0.274
Headache__including_migraine,0.559,0.011,0.121,0.132,-0.102,-0.123
Depression_and_Mood_disorders,0.505,0.001,0.169,-0.109,0.029,0.367
Thyroid_disorders,0.223,-0.022,0.138,0.209,0.018,-0.061
Asthma,0.043,-0.051,0.227,-0.027,0.264,0.235
Miscellaneous_mental_health_disorders,0.612,-0.056,-0.061,-0.038,0.184,-0.058
Obesity,-0.029,-0.077,0.045,0.966,0.102,0.043
Atopic_dermatitis,-0.172,-0.22,0.413,0.004,-0.078,0.298
Allergic_rhinitis,0.382,-0.388,0.075,0.105,0.043,0.106
