"",ML4,ML1,ML3,ML2
Disorders_of_lipid_metabolism,0,0.998,0,0
Hypertension,0,0.38,0,0.31
Obesity,0,0.339,0,0.446
Headache__including_migraine,0,0,0.7,0
Miscellaneous_mental_health_disorders,0,0,0.539,0
Adictions,0.679,0,0,0
Allergic_rhinitis,0,0,0,0
Anxiety_disorders,0.595,0,0,0
Asthma,0.334,0,0,0
Depression_and_Mood_disorders,0.593,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0
Hepatitis,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0
Other_male_genital_disorders,0,0,0,0
Vision_defects,0,0,0,0
