"",ML5,ML4,ML3,ML1,ML2,ML6
Hypertension,0,0.996,0,0,0,0
Disorders_of_lipid_metabolism,0,0.41,0,0,0,0
Sexual_disorders,0,0.383,0,0,0,0
Obesity,0,0.338,0,0,0,0
Hepatitis,0,0,0.995,0,0,0
Adictions,0.46,0,0.307,0,0,0
Alcohol-related_disorders,0.388,0,0.301,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.993,0,0
Headache__including_migraine,0,0,0,0.367,0,0
Allergic_rhinitis,0,0,0,0,0.993,0
Asthma,0,0,0,0,0,0.619
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0.303
Anxiety_disorders,0.721,0,0,0,0,0
Depression_and_Mood_disorders,0.651,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Other_male_genital_disorders,0.305,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
