"",ML4,ML3,ML1,ML2,ML5
Miscellaneous_mental_health_disorders,0,1.005,0,0,0
Atopic_dermatitis,0,0,0.991,0,0
Asthma,0,0,0.349,0,0
Other_acquired_deformities,0,0,0,0.999,0
Other_male_genital_disorders,0,0,0,0,0.75
Sexual_disorders,0,0,0,0,0.325
Anxiety_disorders,0,0,0,0,0.319
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0.301
Allergic_rhinitis,0,0,0,0,0
Depression_and_Mood_disorders,0.332,0,0,0,0
Disorders_of_lipid_metabolism,0.368,0,0,0,0
Headache__including_migraine,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hypertension,0.53,0,0,0,0
Obesity,1.005,0,0,0,0
Thyroid_disorders,0.371,0,0,0,0
Vision_defects,0,0,0,0,0
