"",ML2,ML1
Atopic_dermatitis,0,0.997
Asthma,0,0.375
Allergic_rhinitis,0,0
Anxiety_disorders,0.496,0
Depression_and_Mood_disorders,0.457,0
Disorders_of_lipid_metabolism,0.591,0
Headache__including_migraine,0.427,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0
Hypertension,0.633,0
Inflammatory_conditions_of_male_genital_organs,0,0
Miscellaneous_mental_health_disorders,0.344,0
Obesity,0.671,0
Other_acquired_deformities,0,0
Other_male_genital_disorders,0,0
Sexual_disorders,0,0
Thyroid_disorders,0.354,0
Vision_defects,0,0
