"",ML3,ML2,ML4,ML1
Hypertension,0,0.994,0,0
Sexual_disorders,0,0.454,0.337,0
Disorders_of_lipid_metabolism,0,0.381,0,0
Hepatitis,0,0,0.611,0
Alcohol-related_disorders,0,0,0.519,0
Adictions,0.305,0,0.451,0
Asthma,0,0,0,0.988
Allergic_rhinitis,0,0,0,0
Anxiety_disorders,0.546,0,0,0
Depression_and_Mood_disorders,0.673,0,0,0
Esophageal_disorders,0,0,0,0
Headache__including_migraine,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0
Obesity,0.32,0,0,0
Other_male_genital_disorders,0,0,0,0
Thyroid_disorders,0.397,0,0,0
Vision_defects,0.303,0,0,0
