"",ML15,ML12,ML6,ML5,ML11,ML10,ML13,ML3,ML1,ML14,ML7,ML4,ML9,ML2,ML8
Acute_cerebrovascular_disease,0,0.962,0,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0.538,0,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.415,0,0,0,0,0,0.305,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.907,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.963,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0.3,0,0,0,0,0,0.4,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0.967,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0.964,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0.316,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0.911,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0.485,0,0,0,0,0,0,0,0
Vision_defects,0.39,0,0,0,0,0,0.337,0,0,0,0,0,0,0,0
Conduction_disorders,0,0,0,0,0,0,0,0.951,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0.305,0,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0,0,0,0,0,0.874,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0,0,0,0.352,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0,0.985,0,0,0,0
Allergic_rhinitis,0.353,0,0,0,0,0,0,0,0,0,0.319,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0.951,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.971,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.979
Chronic_kidney_disease,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0.307,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
