"",ML3,ML4,ML1,ML2
Cardiac_dysrhythmias,0,0.73,0,0
Congestive_heart_failure__nonhypertensive,0,0.699,0,0
Coagulation_and_hemorrhagic_disorders,0,0.664,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.48,0,0
Ischemic_heart_disease,0,0.475,0,0
Other_non-traumatic_joint_disorders,0,0.416,0,0
Gout,0,0.41,0,0
Hypertension,0.554,0.365,0,0
Heart_valve_disorders,0,0.341,0.348,0
Transient_cerebral_ischemia,0,0.333,0,0
Chronic_kidney_disease,0,0.318,0,0
Glaucoma,0,0.3,0,0
Urinary_incontinence,0,0,0.98,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.377,0
Irritable_bowel_and_other_GI_disorders,0,0,0.361,0
Obstructive_Sleep_apnea,0.323,0,0.352,0
Chronic_ulcer_of_skin,0,0,0.341,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,1.003
Alcohol-related_disorders,0,0,0,0.412
Obesity,0.328,0,0,0.303
Acute_cerebrovascular_disease,0,0,0,0
Allergic_rhinitis,0.415,0,0,0
Anxiety_disorders,0.419,0,0,0
Cataract,0,0,0,0
Depression_and_Mood_disorders,0.499,0,0,0
Diabetes,0.313,0,0,0
Disorders_of_lipid_metabolism,0.582,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0
Esophageal_disorders,0,0,0,0
Headache__including_migraine,0.492,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.327,0,0,0
Hyperplasia_of_prostate,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.323,0,0,0
Myodesopsia_and_other_eye_disorders,0.313,0,0,0
Neoplasms,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.374,0,0,0
Osteoarthritis,0.408,0,0,0
Osteoporosis,0.344,0,0,0
Other_circulatory_disease,0.333,0,0,0
Other_male_genital_disorders,0.479,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0
Psoriasis_and_other_inflammatory,0.364,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0.469,0,0,0
Sexual_disorders,0.45,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.508,0,0,0
Thyroid_disorders,0,0,0,0
Vision_defects,0.301,0,0,0
