"",ML1,ML2,ML3
Obesity,0,0.631,0
Diabetes,0,0.599,0
Hypertension,0,0.529,0
Obstructive_Sleep_apnea,0,0.526,0
Disorders_of_lipid_metabolism,0,0.481,0
Psoriasis_and_other_inflammatory,0,0.424,0
Ischemic_heart_disease,0,0.39,0
Chronic_kidney_disease,0.338,0.358,0
Gout,0,0.344,0
Sexual_disorders,0,0.343,0
Other_male_genital_disorders,0,0.341,0.34
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.645
Esophageal_disorders,0,0,0.485
Hyperplasia_of_prostate,0,0,0.464
Anxiety_disorders,0,0,0.454
Allergic_rhinitis,0,0,0.445
Glaucoma,0,0,0.387
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0.374
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.367
Osteoarthritis,0,0,0.364
Headache__including_migraine,0,0,0.362
Cataract,0.339,0,0.356
Depression_and_Mood_disorders,0,0,0.344
Acute_cerebrovascular_disease,0.312,0,0
Cardiac_dysrhythmias,0.663,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.351,0,0
Chronic_ulcer_of_skin,0.516,0,0
Coagulation_and_hemorrhagic_disorders,0.671,0,0
Congestive_heart_failure__nonhypertensive,0.738,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0
Neoplasms,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0
Thyroid_disorders,0,0,0
Urinary_incontinence,0.432,0,0
Vision_defects,0,0,0
