"",ML7,ML8,ML5,ML6,ML3,ML4,ML1,ML2
Urinary_incontinence,0,0.551,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.472,0.486,0,0,0,0,0
Chronic_ulcer_of_skin,0,0.443,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.416,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.405,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0.388,0,0,0,0,0.407,0
Chronic_kidney_disease,0,0.369,0,0,0,0,0,0
Conduction_disorders,0,0.359,0,0.39,0,0,0,0
Cardiac_dysrhythmias,0,0.351,0.51,0,0,0,0,0
Hypertension,0.331,0.35,0,0,0,0,0,0
Cataract,0,0.318,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.974,0,0,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0.985,0,0,0,0
Diabetes,0,0,0,0.417,0,0,0,0
Disorders_of_lipid_metabolism,0.391,0,0,0.323,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0.994,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,1.007,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.325,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0.973,0
Asthma,0,0,0,0,0,0,0,0.977
Allergic_rhinitis,0.499,0,0,0,0,0,0,0.316
Anxiety_disorders,0.397,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.325,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.363,0,0,0,0,0,0,0
Esophageal_disorders,0.608,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0
Headache__including_migraine,0.364,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.376,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0
Myodesopsia_and_other_eye_disorders,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0
Obesity,0.337,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.413,0,0,0,0,0,0,0
Osteoarthritis,0.342,0,0,0,0,0,0,0
Other_male_genital_disorders,0.428,0,0,0,0,0,0,0
Other_non-traumatic_joint_disorders,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.444,0,0,0,0,0,0,0
Sexual_disorders,0.426,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.312,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0
Vision_defects,0.392,0,0,0,0,0,0,0
