"",ML2,ML1
Congestive_heart_failure__nonhypertensive,0,0.753
Coagulation_and_hemorrhagic_disorders,0,0.7
Cardiac_dysrhythmias,0,0.68
Chronic_ulcer_of_skin,0,0.533
Urinary_incontinence,0,0.478
Chronic_kidney_disease,0,0.432
Hypertension,0.466,0.372
Acute_cerebrovascular_disease,0,0.366
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.364
Ischemic_heart_disease,0,0.334
Cataract,0,0.308
Allergic_rhinitis,0.426,0
Anxiety_disorders,0.43,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0
Depression_and_Mood_disorders,0.419,0
Diabetes,0.359,0
Disorders_of_lipid_metabolism,0.542,0
Esophageal_disorders,0.545,0
Glaucoma,0.306,0
Gout,0,0
Headache__including_migraine,0.427,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.431,0
Hepatic_steatosis_and_other_liver_diseases,0,0
Hyperplasia_of_prostate,0.376,0
Neoplasms,0,0
Obesity,0.402,0
Obstructive_Sleep_apnea,0.373,0
Osteoarthritis,0.407,0
Other_male_genital_disorders,0.591,0
Peripheral_and_visceral_atherosclerosis,0,0
Psoriasis_and_other_inflammatory,0.368,0
Sexual_disorders,0.435,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.43,0
Thyroid_disorders,0,0
Vision_defects,0.33,0
