"",ML7,ML8,ML6,ML5,ML1,ML4,ML3,ML2
Disorders_of_lipid_metabolism,0,0.625,0,0,0,0,0,0
Hypertension,0,0.587,0,0,0,0,0,0
Diabetes,0,0.501,0,0,0,0,0,0
Sexual_disorders,0,0.457,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0.434,0,0,0,0,0,0
Obesity,0,0.422,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.421,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.42,0,0,0,0,0,0
Chronic_kidney_disease,0.373,0.35,0,0,0,0,0,0
Vision_defects,0,0.342,0,0,0,0,0,0
Headache__including_migraine,0,0.337,0,0,0,0,0,0
Other_male_genital_disorders,0,0.332,0,0,0,0,0,0
Allergic_rhinitis,0,0.314,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0.948,0,0,0,0,0
Urinary_incontinence,0,0,0.403,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0.393,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0.31,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.974,0,0,0,0
Osteoporosis,0,0,0,0.358,0,0,0,0
Cataract,0.3,0,0,0.319,0,0,0,0
Ischemic_heart_disease,0,0,0,0.307,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0.95,0,0,0
Alcohol-related_disorders,0,0,0,0,0.396,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0.958,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0.321,0,0
Esophageal_disorders,0,0,0,0,0,0,0.983,0
Thyroid_disorders,0,0,0,0,0,0,0,0.992
Anxiety_disorders,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.781,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.464,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0.342,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.595,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.718,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0
Glaucoma,0.378,0,0,0,0,0,0,0
Gout,0.315,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0
