"",ML9,ML10,ML7,ML5,ML6,ML3,ML2,ML4,ML1,ML8
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.52,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0.461,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0.459,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0.4,0,0,0,0,0,0,0,0.383
Depression_and_Mood_disorders,0,0.395,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0.38,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.357,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0.357,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.34,0,0,0,0,0,0,0,0
Sexual_disorders,0,0.308,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.937,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0.423,0,0,0,0,0,0,0
Chronic_kidney_disease,0.318,0,0.302,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0.97,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0.965,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0.309,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0.998,0,0,0,0
Vision_defects,0,0,0,0,0,0,0.996,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,1,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0.914,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0.727
Cataract,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0
Diabetes,0.587,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.468,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0
Gout,0.578,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0
Hypertension,0.555,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0
Obesity,0.436,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.344,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.367,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0
