"",ML2,ML4,ML1,ML3
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.663,0,0
Hyperplasia_of_prostate,0,0.468,0,0
Esophageal_disorders,0,0.457,0,0
Anxiety_disorders,0,0.454,0,0
Allergic_rhinitis,0,0.414,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.398,0,0
Glaucoma,0,0.392,0,0
Cataract,0,0.383,0,0
Headache__including_migraine,0,0.371,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.365,0,0
Osteoarthritis,0,0.353,0,0
Depression_and_Mood_disorders,0,0.345,0,0
Other_male_genital_disorders,0.372,0.335,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.301,0,0.323
Coagulation_and_hemorrhagic_disorders,0,0,0.988,0
Cardiac_dysrhythmias,0,0,0.497,0
Congestive_heart_failure__nonhypertensive,0,0,0.442,0.407
Chronic_ulcer_of_skin,0,0,0,0.581
Urinary_incontinence,0,0,0,0.52
Acute_cerebrovascular_disease,0,0,0,0.306
Chronic_kidney_disease,0.395,0,0,0
Diabetes,0.602,0,0,0
Disorders_of_lipid_metabolism,0.486,0,0,0
Gout,0.371,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0
Hypertension,0.557,0,0,0
Ischemic_heart_disease,0.402,0,0,0
Neoplasms,0,0,0,0
Obesity,0.641,0,0,0
Obstructive_Sleep_apnea,0.53,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0
Psoriasis_and_other_inflammatory,0.422,0,0,0
Sexual_disorders,0.335,0,0,0
Thyroid_disorders,0,0,0,0
Vision_defects,0,0,0,0
