"",ML9,ML10,ML2,ML8,ML3,ML7,ML4,ML1,ML5,ML6
Obstructive_Sleep_apnea,0,0.489,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.338,0.485,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0.477,0,0,0,0,0,0,0,0
Sexual_disorders,0,0.466,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.427,0,0.371,0,0,0,0,0,0
Hypertension,0.382,0.403,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0.383,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.375,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.364,0,0,0,0,0,0,0,0
Diabetes,0,0.362,0,0.331,0,0,0,0,0,0
Obesity,0,0.35,0,0,0,0.353,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.347,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0.345,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0.336,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0.968,0,0,0,0,0,0,0
Osteoporosis,0.37,0,0.335,0,0,0,0.301,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.978,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0.98,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.967,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0.337,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0.977,0,0,0
Vision_defects,0,0,0,0,0,0,0.412,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0.383,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0.955,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0.998,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0.959
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.637,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.497,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.573,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.652,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0
Glaucoma,0.527,0,0,0,0,0,0,0,0,0
Gout,0.367,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0.3,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.35,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0.333,0,0,0,0,0,0,0,0,0
