"",ML1,ML2
Congestive_heart_failure__nonhypertensive,0,0.762
Coagulation_and_hemorrhagic_disorders,0,0.672
Cardiac_dysrhythmias,0,0.603
Chronic_ulcer_of_skin,0,0.533
Urinary_incontinence,0,0.487
Chronic_kidney_disease,0,0.454
Acute_cerebrovascular_disease,0,0.401
Hypertension,0.457,0.385
Ischemic_heart_disease,0,0.361
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.353
Transient_cerebral_ischemia,0,0.349
Diabetes,0.321,0.32
Allergic_rhinitis,0.427,0
Anxiety_disorders,0.448,0
Asthma,0,0
Cataract,0,0
Conduction_disorders,0.326,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.314,0
Depression_and_Mood_disorders,0.461,0
Disorders_of_lipid_metabolism,0.51,0
Diverticulosis_and_diverticulitis,0.403,0
Esophageal_disorders,0.541,0
Glaucoma,0.336,0
Gout,0,0
Headache__including_migraine,0.412,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.404,0
Hepatic_steatosis_and_other_liver_diseases,0.31,0
Hyperplasia_of_prostate,0.4,0
Inflammatory_conditions_of_male_genital_organs,0.306,0
Myodesopsia_and_other_eye_disorders,0.308,0
Neoplasms,0,0
Neuropathy_and_other_nervous_system_disorders,0.315,0
Obesity,0.346,0
Obstructive_Sleep_apnea,0.334,0
Osteoarthritis,0.457,0
Other_male_genital_disorders,0.576,0
Other_non-traumatic_joint_disorders,0.325,0
Other_nutritional__endocrine__and_metabolic_disorders,0.372,0
Peripheral_and_visceral_atherosclerosis,0,0
Psoriasis_and_other_inflammatory,0.31,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0
Sexual_disorders,0.405,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.427,0
Thyroid_disorders,0,0
Vision_defects,0.318,0
