"",ML4,ML5,ML2,ML3,ML1
Congestive_heart_failure__nonhypertensive,0,0.759,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.701,0,0,0
Cardiac_dysrhythmias,0,0.634,0,0,0
Chronic_ulcer_of_skin,0,0.504,0,0,0
Urinary_incontinence,0,0.451,0,0,0
Chronic_kidney_disease,0,0.399,0,0,0
Acute_cerebrovascular_disease,0,0.352,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.34,0,0,0
Transient_cerebral_ischemia,0,0.33,0,0,0
Ischemic_heart_disease,0,0.322,0,0,0
Gout,0,0.312,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0.997,0,0
Diabetes,0,0,0.424,0,0
Conduction_disorders,0,0,0.408,0,0
Disorders_of_lipid_metabolism,0.463,0,0.316,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.999,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0.998
Allergic_rhinitis,0.402,0,0,0,0
Anxiety_disorders,0.477,0,0,0,0
Asthma,0,0,0,0,0
Cataract,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.376,0,0,0,0
Depression_and_Mood_disorders,0.425,0,0,0,0
Diverticulosis_and_diverticulitis,0.63,0,0,0,0
Esophageal_disorders,0.465,0,0,0,0
Glaucoma,0,0,0,0,0
Headache__including_migraine,0.345,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.347,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0
Hyperplasia_of_prostate,0.333,0,0,0,0
Hypertension,0.361,0,0,0,0
Myodesopsia_and_other_eye_disorders,0.323,0,0,0,0
Neoplasms,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.392,0,0,0,0
Obesity,0.308,0,0,0,0
Obstructive_Sleep_apnea,0.332,0,0,0,0
Osteoarthritis,0.448,0,0,0,0
Other_male_genital_disorders,0.407,0,0,0,0
Other_non-traumatic_joint_disorders,0.316,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0.368,0,0,0,0
Psoriasis_and_other_inflammatory,0.382,0,0,0,0
Sexual_disorders,0.397,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.324,0,0,0,0
Thyroid_disorders,0,0,0,0,0
Vision_defects,0.309,0,0,0,0
