"",ML4,ML5,ML2,ML3,ML1
Allergic_rhinitis,0,0.571,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.549,0,0,0
Other_male_genital_disorders,0,0.509,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.451,0,0,0
Depression_and_Mood_disorders,0,0.426,0,0,0
Irritable_bowel_and_other_GI_disorders,0,0.385,0.355,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.385,0,0,0
Alcohol-related_disorders,0,0.358,0,0,0
Vision_defects,0,0.338,0,0,0
Anxiety_disorders,0,0.326,0,0,0
Myodesopsia_and_other_eye_disorders,0,0.325,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0.319,0,0.386,0
Disorders_of_lipid_metabolism,0,0.316,0,0.328,0
Osteoporosis,0,0.307,0,0,0
Urinary_incontinence,0,0,0.973,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.358,0,0
Heart_valve_disorders,0.329,0,0.354,0,0
Obstructive_Sleep_apnea,0,0,0.349,0.347,0
Chronic_ulcer_of_skin,0.344,0,0.327,0,0
Obesity,0,0,0,0.979,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0,0,0.999
Chronic_kidney_disease,0.368,0,0,0,0.393
Hypertension,0.384,0,0,0,0.328
Acute_cerebrovascular_disease,0,0,0,0,0
Cardiac_dysrhythmias,0.668,0,0,0,0
Cataract,0.364,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.48,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.6,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.708,0,0,0,0
Diabetes,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Glaucoma,0.404,0,0,0,0
Gout,0.363,0,0,0,0
Headache__including_migraine,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0
Ischemic_heart_disease,0.523,0,0,0,0
Neoplasms,0,0,0,0,0
Osteoarthritis,0.35,0,0,0,0
Other_circulatory_disease,0,0,0,0,0
Other_non-traumatic_joint_disorders,0.503,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0
Sexual_disorders,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0
Transient_cerebral_ischemia,0.408,0,0,0,0
