"",ML11,ML12,ML9,ML6,ML10,ML2,ML8,ML5,ML1,ML3,ML4,ML7
Cardiac_dysrhythmias,0,0.675,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.642,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0.636,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.536,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0.425,0,0,0,0,0,0,0,0,0,0
Gout,0,0.373,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0.306,0,0,0.308,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0.964,0,0,0,0,0,0,0,0,0
Cataract,0,0,0.312,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.309,0,0,0,0.303,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.969,0,0,0,0,0,0,0,0
Urinary_incontinence,0.31,0,0,0.389,0,0,0,0,0,0,0,0
Diabetes,0.509,0,0,0.349,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0.978,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0.406,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0.377,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0.948,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0.312,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0.933,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,1,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0.919,0,0,0
Obesity,0.474,0,0,0,0,0,0,0,0.348,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.928,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0.957,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0.945
Sexual_disorders,0.383,0,0,0,0,0,0,0,0,0,0,0.365
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.319,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.549,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.383,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.437,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0.344,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.388,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.301,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.493,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.477,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0
