"",ML2,ML3,ML1
Other_male_genital_disorders,0,0.542,0
Disorders_of_lipid_metabolism,0,0.523,0
Hypertension,0.443,0.522,0
Allergic_rhinitis,0,0.471,0
Obesity,0,0.465,0
Neuropathy_and_other_nervous_system_disorders,0,0.456,0
Obstructive_Sleep_apnea,0,0.435,0.374
Hepatic_steatosis_and_other_liver_diseases,0,0.435,0
Inflammatory_conditions_of_male_genital_organs,0,0.418,0
Sexual_disorders,0,0.412,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.411,0
Alcohol-related_disorders,0,0.396,0
Depression_and_Mood_disorders,0,0.369,0
Anxiety_disorders,0,0.359,0
Osteoarthritis,0.322,0.343,0
Psoriasis_and_other_inflammatory,0,0.339,0
Headache__including_migraine,0,0.322,0
Vision_defects,0,0.315,0
Diverticulosis_and_diverticulitis,0,0.303,0
Urinary_incontinence,0,0,0.975
Irritable_bowel_and_other_GI_disorders,0,0,0.377
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0.354
Heart_valve_disorders,0.332,0,0.343
Chronic_ulcer_of_skin,0.377,0,0.316
Acute_cerebrovascular_disease,0,0,0
Cardiac_dysrhythmias,0.682,0,0
Cataract,0.366,0,0
Chronic_kidney_disease,0.459,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.438,0,0
Coagulation_and_hemorrhagic_disorders,0.601,0,0
Congestive_heart_failure__nonhypertensive,0.69,0,0
Diabetes,0,0,0
Esophageal_disorders,0,0,0
Glaucoma,0.376,0,0
Gout,0.345,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Hyperplasia_of_prostate,0,0,0
Ischemic_heart_disease,0.505,0,0
Myodesopsia_and_other_eye_disorders,0,0,0
Neoplasms,0,0,0
Osteoporosis,0,0,0
Other_circulatory_disease,0,0,0
Other_non-traumatic_joint_disorders,0.442,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,0,0,0
Thyroid_disorders,0,0,0
Transient_cerebral_ischemia,0.423,0,0
