"",ML8,ML4,ML2,ML3,ML7,ML6,ML5,ML1
Menstrual_disorders,0,0.941,0,0,0,0,0,0
Headache__including_migraine,0,0.426,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0.387,0,0,0,0,0,0
Allergic_rhinitis,0,0.374,0,0,0,0,0,0
Anxiety_disorders,0,0.358,0,0,0,0.328,0,0
Thyroid_disorders,0.318,0.342,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,1.002,0,0,0,0,0
Hypertension,0,0,0.453,0,0.456,0,0,0
Ischemic_heart_disease,0,0,0.342,0,0.348,0,0,0
Menopausal_disorders,0,0,0,0.984,0,0,0,0
Osteoporosis,0.379,0,0,0.338,0,0,0,0
Sexual_disorders,0,0,0,0,0.555,0,0,0
Diabetes,0,0,0,0,0.473,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.453,0,0,0
Obesity,0,0,0,0,0.3,0,0,0
Adictions,0,0,0,0,0,0.871,0,0
Hepatitis,0,0,0,0,0,0.563,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0.356,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0.973,0
Alcohol-related_disorders,0,0,0,0,0,0,0.331,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0.932
Asthma,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0.554,0,0,0,0,0,0,0
Cataract,0.6,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.423,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.399,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.534,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.411,0,0,0,0,0,0,0
Neoplasms,0.324,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0
Osteoarthritis,0.442,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.304,0,0,0,0,0,0,0
Urinary_incontinence,0.471,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0
