"",ML4,ML3,ML5,ML2,ML1
Menstrual_disorders,0,0.935,0,0,0
Headache__including_migraine,0,0.428,0,0,0
Miscellaneous_mental_health_disorders,0,0.392,0,0,0
Allergic_rhinitis,0,0.369,0,0,0
Anxiety_disorders,0,0.355,0.318,0,0
Thyroid_disorders,0,0.338,0,0,0
Adictions,0,0,0.891,0,0
Hepatitis,0,0,0.631,0,0
Depression_and_Mood_disorders,0,0,0.342,0,0
Alcohol-related_disorders,0,0,0.338,0,0
Hepatic_steatosis_and_other_liver_diseases,0.358,0,0.336,0,0
Menopausal_disorders,0,0,0,0.981,0
Osteoporosis,0.414,0,0,0.356,0
Other_male_genital_disorders,0,0,0,0,0.935
Asthma,0,0,0,0,0
Cardiac_dysrhythmias,0.702,0,0,0,0
Cataract,0.677,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.555,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.536,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.658,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.482,0,0,0,0
Diabetes,0.674,0,0,0,0
Disorders_of_lipid_metabolism,0.527,0,0,0,0
Esophageal_disorders,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.35,0,0,0,0
Hypertension,0.721,0,0,0,0
Ischemic_heart_disease,0.609,0,0,0,0
Neoplasms,0.322,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0
Obesity,0.423,0,0,0,0
Osteoarthritis,0.537,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0
Sexual_disorders,0.322,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.344,0,0,0,0
Urinary_incontinence,0.493,0,0,0,0
Vision_defects,0,0,0,0,0
