"",ML1,ML2,ML3
Menstrual_disorders,0,0.768,0
Menopausal_disorders,0,0.75,0
Thyroid_disorders,0,0.379,0
Headache__including_migraine,0,0.366,0
Miscellaneous_mental_health_disorders,0,0.365,0
Osteoporosis,0.461,0.324,0
Adjustment_disorders,0,0.318,0
Adictions,0,0,0.691
Hepatitis,0,0,0.575
Anxiety_disorders,0,0,0.515
Depression_and_Mood_disorders,0,0,0.478
Alcohol-related_disorders,0,0,0.417
Sexual_disorders,0,0,0.412
Other_male_genital_disorders,0,0,0.356
Hepatic_steatosis_and_other_liver_diseases,0,0,0.354
Inflammatory_conditions_of_male_genital_organs,0,0,0.326
Allergic_rhinitis,0,0,0
Asthma,0,0,0
Atopic_dermatitis,0,0,0
Cardiac_dysrhythmias,0.708,0,0
Cataract,0.716,0,0
Chronic_kidney_disease,0.669,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.459,0,0
Coagulation_and_hemorrhagic_disorders,0.484,0,0
Congestive_heart_failure__nonhypertensive,0.66,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.465,0,0
Diabetes,0.648,0,0
Disorders_of_lipid_metabolism,0.573,0,0
Esophageal_disorders,0,0,0
Glaucoma,0.502,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.34,0,0
Hyperplasia_of_prostate,0.618,0,0
Hypertension,0.735,0,0
Ischemic_heart_disease,0.574,0,0
Neoplasms,0.363,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0
Obesity,0.406,0,0
Osteoarthritis,0.596,0,0
Psoriasis_and_other_inflammatory,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.391,0,0
Urinary_incontinence,0.518,0,0
Vision_defects,0,0,0
