"",ML5,ML6,ML3,ML1,ML4,ML2
Inflammatory_conditions_of_male_genital_organs,0,0.475,0,0,0,0
Other_male_genital_disorders,0,0.469,0,0,0,0
Miscellaneous_mental_health_disorders,0,0.444,0,0,0,0
Sexual_disorders,0,0.419,0,0,0,0
Allergic_rhinitis,0,0.411,0,0,0,0
Anxiety_disorders,0,0.398,0,0,0.304,0
Headache__including_migraine,0,0.388,0,0.308,0,0
Disorders_of_lipid_metabolism,0.415,0.328,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.301,0,0,0,0
Menopausal_disorders,0,0,0.993,0,0,0
Osteoporosis,0.381,0,0.41,0,0,0
Menstrual_disorders,0,0,0,0.99,0,0
Adictions,0,0,0,0,0.958,0
Hepatitis,0,0,0,0,0.567,0
Hepatic_steatosis_and_other_liver_diseases,0.352,0,0,0,0.313,0
Depression_and_Mood_disorders,0,0,0,0,0.312,0
Atopic_dermatitis,0,0,0,0,0,0.996
Adjustment_disorders,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0
Asthma,0,0,0,0,0,0
Cardiac_dysrhythmias,0.708,0,0,0,0,0
Cataract,0.615,0,0,0,0,0
Chronic_kidney_disease,0.706,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.556,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0.6,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.722,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.451,0,0,0,0,0
Diabetes,0.597,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0
Glaucoma,0.422,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.32,0,0,0,0,0
Hyperplasia_of_prostate,0.647,0,0,0,0,0
Hypertension,0.686,0,0,0,0,0
Ischemic_heart_disease,0.552,0,0,0,0,0
Neoplasms,0.358,0,0,0,0,0
Obesity,0.362,0,0,0,0,0
Osteoarthritis,0.492,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Urinary_incontinence,0.521,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
