"",ML1,ML2
Menstrual_disorders,0,0.814
Menopausal_disorders,0,0.69
Anxiety_disorders,0,0.427
Headache__including_migraine,0,0.422
Miscellaneous_mental_health_disorders,0,0.416
Depression_and_Mood_disorders,0.404,0.406
Thyroid_disorders,0,0.402
Neuropathy_and_other_nervous_system_disorders,0.338,0.381
Osteoporosis,0.438,0.314
Alcohol-related_disorders,0,0
Allergic_rhinitis,0,0
Asthma,0,0
Atopic_dermatitis,0,0
Cardiac_dysrhythmias,0.526,0
Cataract,0.666,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.567,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.545,0
Diabetes,0.65,0
Disorders_of_lipid_metabolism,0.636,0
Esophageal_disorders,0.307,0
Glaucoma,0.51,0
Gout,0.45,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.393,0
Hyperplasia_of_prostate,0.586,0
Hypertension,0.742,0
Inflammatory_conditions_of_male_genital_organs,0,0
Ischemic_heart_disease,0.54,0
Neoplasms,0.397,0
Obesity,0.462,0
Osteoarthritis,0.609,0
Other_male_genital_disorders,0,0
Psoriasis_and_other_inflammatory,0,0
Sexual_disorders,0.348,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.48,0
Urinary_incontinence,0.554,0
Vision_defects,0,0
