"",ML5,ML8,ML1,ML6,ML2,ML4,ML7,ML3
Hypertension,0,0.629,0,0,0.361,0,0,0
Diabetes,0,0.616,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0.524,0,0,0,0,0,0
Obesity,0,0.414,0,0,0,0,0,0
Chronic_kidney_disease,0,0.326,0,0,0,0,0,0
Sexual_disorders,0,0.301,0,0,0,0,0,0
Menstrual_disorders,0,0,0.992,0,0,0,0,0
Headache__including_migraine,0,0,0.315,0,0,0,0.384,0
Adictions,0,0,0,0.871,0,0,0,0
Hepatitis,0,0,0,0.666,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0.401,0,0,0,0
Alcohol-related_disorders,0,0,0,0.368,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0.336,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0.985,0,0,0
Coagulation_and_hemorrhagic_disorders,0.454,0,0,0,0.312,0,0,0
Cardiac_dysrhythmias,0.52,0,0,0,0.304,0,0,0
Menopausal_disorders,0,0,0,0,0,0.99,0,0
Osteoporosis,0.331,0,0,0,0,0.382,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0.528,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0.497,0
Allergic_rhinitis,0,0,0,0,0,0,0.436,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0.401,0
Anxiety_disorders,0,0,0,0,0,0,0.398,0
Atopic_dermatitis,0,0,0,0,0,0,0,0.994
Adjustment_disorders,0.303,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0
Cataract,0.595,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.389,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.515,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0
Glaucoma,0.354,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.366,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0.475,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0
Osteoarthritis,0.381,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0
Urinary_incontinence,0.502,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0
