"",ML5,ML6,ML3,ML4,ML2,ML1
Other_nutritional__endocrine__and_metabolic_disorders,0,0.549,0,0,0,0
Nonmalignant_breast_conditions,0,0.505,0,0,0,0
Other_acquired_deformities,0,0.449,0,0,0,0
Thyroid_disorders,0,0.346,0,0,0,0
Anxiety_disorders,0,0.336,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.496,0.311,0,0,0,0
Dyspareunia,0,0,0.992,0,0,0
Menstrual_disorders,0,0,0.403,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.302,0,0,0
Esophageal_disorders,0,0,0,0.992,0,0
Disorders_of_lipid_metabolism,0.387,0,0,0.345,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0.984,0
Vision_defects,0,0,0,0,0,0.982
Allergic_rhinitis,0,0,0,0,0,0
Asthma,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0
Female_infertility,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Hypertension,0.681,0,0,0,0,0
Obesity,0.873,0,0,0,0,0
Urinary_incontinence,0.601,0,0,0,0,0
