"",ML3,ML4,ML2,ML1,ML5
Menstrual_disorders,0,0.578,0,0,0
Anxiety_disorders,0,0.562,0,0,0
Depression_and_Mood_disorders,0,0.497,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.444,0,0,0
Allergic_rhinitis,0,0.423,0,0,0
Thyroid_disorders,0,0.322,0,0,0
Headache__including_migraine,0,0.306,0,0,0
Psoriasis_and_other_inflammatory,0,0,0.993,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.992,0
Atopic_dermatitis,0,0,0,0,0.651
Asthma,0,0,0,0,0.374
Vision_defects,0,0,0,0,0.318
Disorders_of_lipid_metabolism,0.533,0,0,0,0
Hypertension,0.896,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.4,0,0,0,0
Obesity,0.592,0,0,0,0
