"",ML13,ML10,ML7,ML9,ML8,ML4,ML3,ML6,ML5,ML2,ML1,ML12,ML11
Congestive_heart_failure__nonhypertensive,0,0.946,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.427,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,1.007,0,0,0,0,0,0,0,0,0,0
Hypertension,0.34,0,0.326,0,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0.954,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0.349,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0.3,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0.97,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,1.006,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0.372,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0.989,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0.965,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,1.005,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0.995,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0.928,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0.531,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0,0,0,0.35,0
Cataract,0,0,0,0,0,0,0,0,0,0,0,0.32,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.64
Allergic_rhinitis,0.381,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.509,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.422,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0.453,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0.312,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
