"",ML8,ML6,ML1,ML3,ML4,ML5,ML2,ML7,ML9
Gout,0,0.789,0,0,0,0,0,0,0
Hypertension,0,0.565,0,0,0,0,0,0,0
Diabetes,0,0.41,0,0,0,0,0,0,0
Chronic_kidney_disease,0,0.377,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.357,0.333,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.907,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0.497,0,0,0,0,0,0
Esophageal_disorders,0,0,0.307,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,1.001,0,0,0,0,0
Anxiety_disorders,0,0,0,0.307,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0.979,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0,0.941,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0.334,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0.992,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0.465,0
Glaucoma,0,0,0,0,0,0,0,0.369,0
Cataract,0,0,0,0,0,0,0,0.348,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0.337,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0.322,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0.613
Urinary_incontinence,0,0,0,0,0,0,0,0,0.47
Vision_defects,0,0,0,0,0,0,0,0,0.338
Allergic_rhinitis,0.309,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.386,0,0,0,0,0,0,0,0
Headache__including_migraine,0.425,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.399,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0
Obesity,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.73,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0
