"",ML6,ML1,ML3,ML5,ML4,ML2
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.966,0,0,0,0
Obesity,0,0.432,0,0,0,0
Urinary_incontinence,0.394,0.399,0,0,0,0
Anxiety_disorders,0.443,0.305,0,0,0,0
Hepatitis,0,0,0.985,0,0,0
Adictions,0.434,0,0.524,0,0,0
Adjustment_disorders,0,0,0,0.967,0,0
Miscellaneous_mental_health_disorders,0.352,0,0,0.361,0,0
Depression_and_Mood_disorders,0.514,0,0,0.332,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.982,0
Atopic_dermatitis,0,0,0,0,0.314,0
Diseases_of_white_blood_cells,0,0,0,0,0,0.958
Alcohol-related_disorders,0.763,0,0,0,0,0
Allergic_rhinitis,0.304,0,0,0,0,0
Asthma,0.321,0,0,0,0,0
Esophageal_disorders,0.303,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0
Menstrual_disorders,0.456,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0
Other_acquired_deformities,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
