"",ML14,ML8,ML1,ML7,ML12,ML9,ML10,ML3,ML11,ML5,ML4,ML6,ML2,ML13
Obstructive_Sleep_apnea,0,0.967,0,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0.384,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0,0.374,0,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0.339,0,0,0,0,0,0,0,0,0,0,0,0.304
Sexual_disorders,0,0.324,0,0,0,0,0,0,0,0,0.387,0,0,0
Cardiac_dysrhythmias,0,0,0.909,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.502,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.381,0,0.412,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0.324,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.953,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0.317,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0.942,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0.409,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0.339,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0.948,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0.364,0,0,0,0,0,0,0,0
Diabetes,0.57,0,0,0,0,0.339,0,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0.913,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0.328,0,0,0,0,0,0.305,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0.924,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0,0,0,0,0,0,0.922,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0.943,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0.953,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0.987,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.946,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.596,0,0,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.462,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.621,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
