"",ML4,ML6,ML5,ML3,ML1,ML2,ML7
Anxiety_disorders,0,0.574,0,0,0,0,0
Esophageal_disorders,0,0.551,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.473,0,0,0,0,0.317
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.457,0,0,0,0,0
Allergic_rhinitis,0,0.437,0,0,0,0,0
Sexual_disorders,0,0.437,0,0,0,0,0
Depression_and_Mood_disorders,0,0.395,0,0,0,0,0
Headache__including_migraine,0,0.389,0,0,0,0,0
Other_male_genital_disorders,0.359,0.321,0,0,0,0,0
Hyperplasia_of_prostate,0,0.319,0,0,0,0,0
Vision_defects,0,0.316,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0.314,0.422,0,0,0,0
Urinary_incontinence,0,0,0.7,0,0,0,0
Acute_cerebrovascular_disease,0,0,0.624,0,0,0,0
Chronic_ulcer_of_skin,0,0,0.492,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.938,0,0,0
Ischemic_heart_disease,0,0,0,0.322,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0.92,0,0
Cardiac_dysrhythmias,0,0,0,0,0.421,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0.999,0
Cataract,0,0,0,0,0,0,0.462
Glaucoma,0,0,0,0,0,0,0.421
Chronic_kidney_disease,0.374,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0
Diabetes,0.643,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.447,0,0,0,0,0,0
Gout,0.44,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0.429,0,0,0,0,0,0
Hypertension,0.556,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0
Obesity,0.57,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.432,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.371,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
