"",ML8,ML7,ML4,ML6,ML5,ML1,ML2,ML3
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.954,0,0,0,0,0,0
Obesity,0.333,0.423,0,0,0,0,0,0
Urinary_incontinence,0,0.375,0,0,0,0,0,0
Hepatitis,0,0,0.979,0,0,0,0,0
Adictions,0.309,0,0.517,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0.96,0,0,0,0
Alcohol-related_disorders,0.587,0,0,0.324,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.98,0,0,0
Atopic_dermatitis,0,0,0,0,0.34,0,0,0
Adjustment_disorders,0,0,0,0,0,0.9,0,0
Miscellaneous_mental_health_disorders,0.394,0,0,0,0,0.354,0,0
Diseases_of_white_blood_cells,0,0,0,0,0,0,0.954,0
Vision_defects,0,0,0,0,0,0,0,0.982
Allergic_rhinitis,0.403,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0
Esophageal_disorders,0.388,0,0,0,0,0,0,0
Headache__including_migraine,0.325,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0
Menstrual_disorders,0.536,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0
Other_acquired_deformities,0,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0.311,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0
