"",ML1,ML7,ML6,ML5,ML4,ML3,ML2
Other_nutritional__endocrine__and_metabolic_disorders,0,0.611,0,0,0,0,0
Nonmalignant_breast_conditions,0,0.435,0,0,0,0,0
Menstrual_disorders,0,0.381,0,0,0.342,0,0
Thyroid_disorders,0,0.349,0,0,0,0,0
Allergic_rhinitis,0,0.344,0,0,0,0,0
Anxiety_disorders,0,0.344,0,0,0,0,0
Urinary_incontinence,0,0,0.98,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0.475,0,0,0,0
Other_acquired_deformities,0,0,0.346,0,0,0,0
Esophageal_disorders,0,0,0,0.988,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0.356,0,0,0
Dyspareunia,0,0,0,0,0.994,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0.327,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0.987,0
Vision_defects,0,0,0,0,0,0,0.976
Asthma,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0
Female_infertility,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Hypertension,0.476,0,0,0,0,0,0
Obesity,0.968,0,0,0,0,0,0
