"",ML8,ML6,ML1,ML4,ML5,ML3,ML7,ML2
Urinary_incontinence,0,0.984,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.457,0,0,0,0,0,0
Other_acquired_deformities,0,0.324,0,0,0,0,0,0
Obesity,0,0,0.929,0,0,0,0,0
Hypertension,0,0,0.412,0,0,0,0,0
Dyspareunia,0,0,0,0.99,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.319,0,0,0,0
Menstrual_disorders,0.526,0,0,0.304,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.948,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0.972,0,0
Esophageal_disorders,0,0,0,0,0,0,0.956,0
Vision_defects,0,0,0,0,0,0,0,0.973
Allergic_rhinitis,0.337,0,0,0,0,0,0,0
Anxiety_disorders,0.378,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0
Female_infertility,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0.371,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0.593,0,0,0,0,0,0,0
Thyroid_disorders,0.313,0,0,0,0,0,0,0
