"",ML8,ML4,ML10,ML5,ML1,ML3,ML6,ML7,ML2,ML9
Obesity,0,0.929,0,0,0,0,0,0,0,0
Hypertension,0,0.425,0,0,0,0,0,0,0,0
Asthma,0,0,0.49,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0.481,0,0,0,0,0,0,0
Female_infertility,0,0,0.392,0,0,0,0,0,0,0
Menstrual_disorders,0,0,0.373,0,0,0.333,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0.341,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0.323,0,0,0,0,0,0,0
Other_nutritional__endocrine__and_metabolic_disorders,0,0,0,1.005,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0.312,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.958,0,0,0,0,0
Dyspareunia,0,0,0,0,0,0.98,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0.992,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0.951,0,0
Vision_defects,0,0,0,0,0,0,0,0,0.965,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0.538
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.412,0,0,0,0,0,0,0,0,0
Other_acquired_deformities,0.352,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.944,0,0,0,0,0,0,0,0,0
