"",ML18,ML14,ML16,ML9,ML15,ML17,ML11,ML8,ML12,ML13,ML10,ML3,ML4,ML5,ML6,ML2,ML7,ML1
Congestive_heart_failure__nonhypertensive,0,0.928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.411,0,0,0,0.305,0,0,0,0,0,0,0,0,0,0,0,0
Transient_cerebral_ischemia,0,0,0.935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,1.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0.954,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0.911,0,0,0,0,0,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0.361,0,0,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0.899,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.357,0,0,0,0,0,0.323,0,0,0,0,0,0,0,0,0,0,0
Diverticulosis_and_diverticulitis,0,0,0,0,0,0,0.302,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0.965,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,1.003,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0.327,0,0,0,0,0,0,0,0,0
Chronic_ulcer_of_skin,0,0,0,0,0,0,0,0,0,0.917,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0.348,0,0,0,0,0,0,0,0
Urinary_incontinence,0.387,0,0,0,0,0,0,0,0,0.336,0,0,0,0,0,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0.984,0,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0,0.854,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.841,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0,0.443,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0,0,0,0.931,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.945,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975,0
Cardiac_dysrhythmias,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_kidney_disease,0.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
