"",ML2,ML1
Hypertension,0,0.918
Obesity,0,0.54
Disorders_of_lipid_metabolism,0,0.528
Neuropathy_and_other_nervous_system_disorders,0,0.357
Allergic_rhinitis,0.446,0
Anxiety_disorders,0.553,0
Asthma,0.421,0
Atopic_dermatitis,0,0
Depression_and_Mood_disorders,0.484,0
Headache__including_migraine,0.402,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0
Menstrual_disorders,0.608,0
Miscellaneous_mental_health_disorders,0.312,0
Psoriasis_and_other_inflammatory,0,0
Thyroid_disorders,0.368,0
Vision_defects,0.323,0
