"",ML13,ML7,ML3,ML12,ML2,ML14,ML4,ML6,ML8,ML9,ML5,ML10,ML1,ML11
Chronic_ulcer_of_skin,0,0.979,0,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0.341,0,0,0,0,0,0,0,0,0,0,0,0
Gout,0,0,1.014,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0.349,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.898,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.328,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0.306,0,0,0,0,0,0,0,0,0.429,0
Other_male_genital_disorders,0,0,0,0,0.948,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0,0,0,0.306,0.315,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.492,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0.351,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0.346,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0.991,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0.332,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,1.009,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0.991,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0.963,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0.996,0,0,0
Peripheral_and_visceral_atherosclerosis,0,0,0,0,0,0,0,0,0,0,0,0.954,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.765,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0.947
Chronic_kidney_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.372,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.337,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0.383,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0.712,0,0,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
